symbol,name,market_cap,last_price,shares,sector,industry,ipo_year,asof,source,fdv,error,currency
HOOD,Robinhood Markets Inc. Class A Common Stock,110317394897.0,122.7,899082272.999185,Finance,Investment Bankers/Brokers/Service,2021,2026-09-24,nasdaq_screener,,,
HQ,Horizon Quantum Holdings Ltd. Class A Ordinary Shares,802564830.0,14.87,53972080.0268998,Technology,EDP Services,,2026-09-24,nasdaq_screener,,,
HSAI,Hesai Group American Depositary Share,2562989461.0,16.31,157142210.97486207,Industrials,Industrial Machinery/Components,2023,2026-09-24,nasdaq_screener,,,
HUT,Hut 8 Corp. Common Stock,12629165091.0,102.46,123259467.99726723,Finance,Finance: Consumer Services,,2026-09-24,nasdaq_screener,,,
INFQ,Infleqtion Inc. Common Stock,3116688029.0,13.83,225357051.98843095,Technology,EDP Services,2026,2026-09-24,nasdaq_screener,,,
IONQ,IonQ Inc. Common Stock,16207838438.0,42.54,381002314.0103432,Technology,EDP Services,2021,2026-09-24,nasdaq_screener,,,
IREN,IREN Limited Ordinary Shares,18540459388.0,47.05,394058647.9914984,Finance,Finance: Consumer Services,2021,2026-09-24,nasdaq_screener,,,
KRMN,Karman Holdings Inc. Common Stock,4380239049.0,33.05,132533707.98789714,Industrials,Military/Government/Technical,2025,2026-09-24,nasdaq_screener,,,
KTOS,Kratos Defense & Security Solutions Inc. Common Stock,8665216454.0,46.16,187721326.9930676,Industrials,Military/Government/Technical,,2026-09-24,nasdaq_screener,,,
KYTX,Kyverna Therapeutics Inc. Common Stock,437233149.0,7.07,61843443.98868458,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2024,2026-09-24,nasdaq_screener,,,
LEU,Centrus Energy Corp. Class A Common Stock,2985937619.0,151.31,19733907.996827703,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),2014,2026-09-24,nasdaq_screener,,,
LITE,Lumentum Holdings Inc. Common Stock,84048900000.0,937.0,89700000.0,Telecommunications,Telecommunications Equipment,,2026-09-24,nasdaq_screener,,,
LRMR,Larimar Therapeutics Inc. Common Stock,401507552.0,3.865,103882937.12807244,Health Care,Biotechnology: Pharmaceutical Preparations,2014,2026-09-24,nasdaq_screener,,,
LUNR,Intuitive Machines Inc. Class A Common Stock,3488802796.0,15.24,228924067.97900262,Industrials,Industrial Machinery/Components,2021,2026-09-24,nasdaq_screener,,,
MARA,MARA Holdings Inc. Common Stock,5157095615.0,13.35,386299297.0037453,Finance,Finance: Consumer Services,,2026-09-24,nasdaq_screener,,,
MP,MP Materials Corp. Common Stock,8707386637.0,48.89,178101587.9934547,Basic Materials,Metal Mining,2020,2026-09-24,nasdaq_screener,,,
MRVL,Marvell Technology Inc. Common Stock,228783210000.0,260.9,876900000.0000001,Technology,Semiconductors,2000,2026-09-24,nasdaq_screener,,,
MSTR,Strategy Inc Common Stock Class A,62321416812.0,162.2,384225750.99876696,Technology,Computer Software: Prepackaged Software,1998,2026-09-24,nasdaq_screener,,,
MU,Micron Technology Inc. Common Stock,1210573930694.0,1071.88,1129393151.0001118,Technology,Semiconductors,,2026-09-24,nasdaq_screener,,,
NBIS,Nebius Group N.V. Class A Ordinary Shares,61605110951.0,226.61,271855218.0000882,Technology,Computer Software: Programming Data Processing,2011,2026-09-24,nasdaq_screener,,,
NNE,Nano Nuclear Energy Inc. Common Stock,913405463.0,17.01,53698145.97295708,Utilities,Electric Utilities: Central,2024,2026-09-24,nasdaq_screener,,,
NTLA,Intellia Therapeutics Inc. Common Stock,1727762125.0,12.33,140126693.02514192,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,2016,2026-09-24,nasdaq_screener,,,
NVTS,Navitas Semiconductor Corporation Common Stock,3091346898.0,11.84,261093488.00675675,Technology,Semiconductors,,2026-09-24,nasdaq_screener,,,
NXE,Nexgen Energy Ltd. Common Shares,6456973753.0,9.63,670506101.0384215,Basic Materials,Other Metals and Minerals,2017,2026-09-24,nasdaq_screener,,,
OKLO,Oklo Inc. Class A common stock,7221205173.0,38.82,186017650.0,Utilities,Electric Utilities: Central,2021,2026-09-24,nasdaq_screener,,,
ONDS,Ondas Inc. Common Stock,4229848961.0,7.4,571601210.9459459,Technology,Radio And Television Broadcasting And Communications Equipment,,2026-09-24,nasdaq_screener,,,
ONTO,Onto Innovation Inc. Common Stock,13854150671.0,282.31,49074247.001523145,Industrials,Industrial Machinery/Components,,2026-09-24,nasdaq_screener,,,
ORA,Ormat Technologies Inc. Common Stock,5893251856.0,95.83,61496940.99968695,Utilities,Electric Utilities: Central,2004,2026-09-24,nasdaq_screener,,,
OUST,Ouster Inc. Common Stock,2839783674.0,39.38,72112333.01168105,Industrials,Industrial Machinery/Components,,2026-09-24,nasdaq_screener,,,
PL,Planet Labs PBC Class A Common Stock,5959830060.0,16.38,363847989.010989,Technology,Radio And Television Broadcasting And Communications Equipment,2021,2026-09-24,nasdaq_screener,,,
POET,POET Technologies Inc. Common Shares,1349853086.0,7.8,173058087.94871795,Technology,Semiconductors,,2026-09-24,nasdaq_screener,,,
QBTS,D-Wave Quantum Inc. Common Stock,6381523617.0,16.81,379626628.0190363,Technology,EDP Services,,2026-09-24,nasdaq_screener,,,
QNT,Quantinuum Inc. Class A Common Stock,13194370996.0,50.11,263308142.00758332,Technology,EDP Services,2026,2026-09-24,nasdaq_screener,,,
QUBT,Quantum Computing Inc. Common Stock,2064283372.0,9.12,226346860.9649123,Technology,Computer Software: Prepackaged Software,,2026-09-24,nasdaq_screener,,,
RCAT,Red Cat Holdings Inc. Common Stock,1006387646.0,6.59,152714362.06373292,Technology,Computer Software: Prepackaged Software,,2026-09-24,nasdaq_screener,,,
RDW,Redwire Corporation Common Stock,2817416703.0,11.27,249992608.9618456,Industrials,Military/Government/Technical,2021,2026-09-24,nasdaq_screener,,,
RGTI,Rigetti Computing Inc. Common Stock,5341968796.0,16.005,333768747.01655734,Technology,EDP Services,,2026-09-24,nasdaq_screener,,,
RIOT,Riot Platforms Inc. Common Stock ,9265143105.0,24.69,375258934.9939246,Finance,Finance: Consumer Services,,2026-09-24,nasdaq_screener,,,
RKLB,Rocket Lab Corporation Common Stock,44137787249.0,70.31,627759738.9987199,Industrials,Military/Government/Technical,2020,2026-09-24,nasdaq_screener,,,
RMBS,Rambus Inc. Common Stock,11222522062.0,103.47,108461602.9960375,Technology,Semiconductors,1997,2026-09-24,nasdaq_screener,,,
RNAC,Cartesian Therapeutics Inc. Common Stock,238109620.0,7.87,30255351.969504446,Health Care,Biotechnology: Pharmaceutical Preparations,2016,2026-09-24,nasdaq_screener,,,
RR,Richtech Robotics Inc. Class B Common Stock,371418206.0,1.65,225101943.03030303,Industrials,Industrial Machinery/Components,2023,2026-09-24,nasdaq_screener,,,
RXRX,Recursion Pharmaceuticals Inc. Class A Common Stock,1980766029.0,3.7,535342170.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),2021,2026-09-24,nasdaq_screener,,,
SBSW,D/B/A Sibanye-Stillwater Limited ADS,7465621159.0,10.55,707641816.0189573,Basic Materials,Precious Metals,,2026-09-24,nasdaq_screener,,,
SDGR,Schrodinger Inc. Common Stock,2186568506.0,29.23,74805627.98494697,Health Care,Biotechnology: Pharmaceutical Preparations,2020,2026-09-24,nasdaq_screener,,,
SERV,Serve Robotics Inc. Common Stock,373709355.0,4.31,86707506.96055685,Industrials,Industrial Machinery/Components,,2026-09-24,nasdaq_screener,,,
SMR,NuScale Power Corporation Class A Common Stock,3729998001.0,8.68,429723272.00460833,Industrials,Metal Fabrications,2022,2026-09-24,nasdaq_screener,,,
SNDK,Sandisk Corporation Common Stock,265980364647.0,1816.57,146419001.00023672,Technology,Electronic Components,,2026-09-24,nasdaq_screener,,,
SYM,Symbotic Inc. Class A Common Stock,26423786623.0,43.69,604801708.0109866,Industrials,Industrial Machinery/Components,2021,2026-09-24,nasdaq_screener,,,
UEC,Uranium Energy Corp. Common Stock,4923980042.0,9.95,494872366.0301508,Basic Materials,Other Metals and Minerals,,2026-09-24,nasdaq_screener,,,
UMAC,Unusual Machines Inc. Common Stock,1133513098.0,22.69,49956504.98016747,Technology,Radio And Television Broadcasting And Communications Equipment,2024,2026-09-24,nasdaq_screener,,,
URG,Ur Energy Inc Common Shares (Canada),461521915.0,1.16,397863719.82758623,Basic Materials,Precious Metals,,2026-09-24,nasdaq_screener,,,
USAR,USA Rare Earth Inc. Class A Common Stock,5937462056.0,15.83,375076567.02463675,Basic Materials,Metal Mining,2023,2026-09-24,nasdaq_screener,,,
UUUU,Energy Fuels Inc Ordinary Shares (Canada),2898457200.0,11.6,249867000.0,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels),,2026-09-24,nasdaq_screener,,,
VRT,Vertiv Holdings LLC Class A Common Stock,95777357679.0,248.78,384988173.00024116,Technology,Industrial Machinery/Components,2018,2026-09-24,nasdaq_screener,,,
VZLA,Vizsla Silver Corp. Common Shares,1434429763.0,4.04,355056872.02970296,Basic Materials,Precious Metals,2024,2026-09-24,nasdaq_screener,,,
WULF,TeraWulf Inc. Common Stock,8158137869.0,16.35,498968677.0030581,Finance,Finance: Consumer Services,,2026-09-24,nasdaq_screener,,,
BTC-USD,Bitcoin,1698615522767.0,84573.0,20088743.0,,,,2026-09-24,coingecko,1698621103436.0,,
ETH-USD,Ethereum,328686025871.0,2692.95,122076229.26807936,,,,2026-09-24,coingecko,328686025871.0,,
BNB-USD,BNB,103972304596.0,780.88,133159886.9,,,,2026-09-24,coingecko,103972304806.0,,
XRP-USD,XRP,96417994578.0,1.53,62879209849.0,,,,2026-09-24,coingecko,153316385579.0,,
SOL-USD,Solana,69073550405.0,117.55,587576899.4198546,,,,2026-09-24,coingecko,74602377133.0,,
HYPE-USD,Hyperliquid,20935119994.0,94.13,222445714.07414138,,,,2026-09-24,coingecko,89907186669.0,,
DOGE-USD,Dogecoin,15061501107.0,0.096526,156050656383.7052,,,,2026-09-24,coingecko,16577993094.0,,
LINK-USD,Chainlink,9931601114.0,13.28,748099970.424884,,,,2026-09-24,coingecko,13275767286.0,,
SUI-USD,Sui,4134917497.0,1.01,4096537146.5409594,,,,2026-09-24,coingecko,10093689741.0,,
AAVE-USD,Aave,2242272969.0,145.34,15429024.490234004,,,,2026-09-24,coingecko,2325251835.0,,
ENA-USD,Ethena,2218244673.0,0.219689,10095312500.0,,,,2026-09-24,coingecko,3295952463.0,,
APT-USD,Aptos,706462949.0,0.811133,870738547.8447742,,,,2026-09-24,coingecko,981048879.0,,
PENDLE-USD,Pendle,442835691.0,2.55,173590367.2583211,,,,2026-09-24,coingecko,718187329.0,,
NSCL,,,,,,,,2026-09-24,yahoo,,'currentTradingPeriod',
SRUUF,,6483903143.114071,18.84000015258789,344156215.0,,,,2026-09-24,yahoo,,,USD
9880.HK,,39365985910.540924,78.19999694824219,503401374.0,,,,2026-09-24,yahoo,,,HKD
XBI,,,156.0,,,,,2026-09-24,yahoo,,,USD
MNMD,,,,,,,,2026-09-24,yahoo,,'currentTradingPeriod',
SILV,,,,,,,,2026-09-24,yahoo,,'currentTradingPeriod',
IMPUY,,11515803594.07096,12.829999923706055,897568485.0,,,,2026-09-24,yahoo,,,USD
